기준년도,기준월,행정동_코드,행정동_코드_명,소득_총금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
2018,10,11710562,방이2동,3030242,7,4496137667,536059000,94252667,150828000,1136565333,188900000,286900333,345241000,307820333,112889000,1336682000
2018,10,11305534,삼양동,2528939,6,846437333,399961667,3905667,39325333,147600667,1907667,61814000,18744333,39838333,33658667,99681000
2018,10,11290810,석관동,2825794,6,1586952333,440681667,40071333,20407000,133316333,15115333,208626667,76423333,90079000,48616667,513615000
2018,10,11290685,길음2동,3688404,7,1805919000,72727667,21376333,9440333,190252333,71498333,66375000,6602667,1038600667,60359667,268686000
2018,10,11290650,정릉4동,3181533,7,824965333,298952000,6339333,4052000,186648333,14426333,40504667,25469333,38528667,25603667,184441000
2018,10,11290640,정릉3동,2621783,6,545484667,146548333,5225333,9020333,11236333,23177333,75447000,18812333,57452667,15261000,183304000
2018,10,11290610,보문동,3120240,7,730668333,134269667,19347333,10122000,56013333,297968667,18329667,21585333,40385000,13976333,118671000
2018,10,11290590,돈암2동,4465040,8,222362000,84749333,4442333,0,15653333,0,50483333,2454333,3725667,26269333,34584333
2018,10,11260580,상봉1동,3153229,7,1170377000,676562000,11440667,13073000,168417667,55923000,28118333,5692333,21969333,39626333,149554333
2018,10,11260550,면목5동,2320566,5,327151667,39120000,3832333,6696667,15526333,170158333,15885000,9309000,20495667,4332667,41795667
2018,10,11230650,장안1동,2969064,6,3099353000,791802667,94675667,71813000,503002667,353346333,60324000,155725000,160347667,112623000,795693000
2018,10,11320515,창5동,3440219,7,1856633000,301877667,17688667,107801667,260122667,245525333,177685000,70110333,105719667,80309333,489792667
2018,10,11215840,자양3동,4597422,8,1301314333,151315333,155109333,12158000,100917667,98734000,145121667,16032333,91573667,76522333,453830000
2018,10,11200590,금호1가동,3654571,7,316442333,85461667,6158667,7340333,36387000,1594667,55845000,23002000,22673000,13893000,64087000
2018,10,11200580,응봉동,4064726,8,129774667,53428333,6119000,0,12689333,2414000,16722000,7040000,3532333,5527667,22302000
2018,10,11200520,왕십리2동,3555413,7,512728000,106362000,13368000,60063000,70612333,0,64313333,20711333,49084333,28193000,100020667
2018,10,11170570,원효로2동,3955417,8,304763000,59101667,1918667,68260333,6431667,16313667,27154333,12418333,24673667,5785333,82705333
2018,10,11170510,후암동,3150859,7,489729333,211992000,9923000,4042333,25126667,6289000,24323667,7697333,10783000,6633000,182919333
2018,10,11140605,을지로동,2825506,6,4570385000,183828000,57609667,94732000,56530333,14145000,30062667,165603667,3337554333,23907667,606411667
2018,10,11140570,필동,3083903,7,1302413667,201268333,1893667,49446333,84854667,48124333,14282333,85402000,140302667,47109667,629729667
2018,10,11110700,숭인1동,3029805,7,183570000,101520333,483667,2504333,24773000,4438667,4847000,3727667,5997000,9996333,25282000
2018,10,11110540,삼청동,3772087,8,617124333,87524000,87252000,17900000,21760333,4047000,1224333,914000,69277000,32296333,294929333
2018,10,11710646,장지동,3405266,7,1140975667,404016333,9012667,7711000,100722667,120753333,100056333,36795000,81056667,32796000,248055667
2018,10,11215810,광장동,5474064,9,1271995667,284060000,37491000,12397000,105025667,139191000,144119667,37083333,91548333,54149667,366930000
2018,10,11320680,쌍문3동,2569204,6,645170333,131667333,54926000,9630333,77767000,13417333,13292333,30637333,45037333,35551667,233243667
2018,10,11350640,상계2동,3240618,7,6431409000,565640000,167021000,89641667,589538667,52057333,156470667,441675000,2390263000,307244333,1671857333
2018,10,11350695,상계6?7동,3283076,7,3660554667,402634000,71744000,64715333,1442105667,3246000,350626333,202014667,365033667,247140333,511294667
2018,10,11620565,성현동,3635388,7,454768333,154544333,7629333,2793000,32375333,18797333,81415333,11619333,36895333,14396333,94302667
2018,10,11560650,신길3동,3025842,7,746593333,256284000,29664000,8017667,145533667,78112333,41576000,28396333,28996333,18394333,111618667
2018,10,11560610,양평1동,3593692,7,1111622667,140792333,5347333,6202000,138558667,347289000,48359333,23211000,43243667,29780333,328839000
2018,10,11560605,문래동,4256298,8,2272184667,424952000,13275000,48953667,249312000,98167667,88123667,65453000,454410333,118725667,710811667
2018,10,11545690,시흥3동,2592152,6,293513333,114627333,827667,12064667,6514667,69396000,13204000,10306000,9529667,4770667,52272667
2018,10,11545630,독산3동,2493680,6,1131193667,355085000,38075667,19477667,174871333,63414333,43864333,77521333,42951667,36216667,279715667
2018,10,11530780,오류2동,3450499,7,27302000,14428667,499333,0,2606333,514000,3982333,0,2184333,426667,2660333
2018,10,11530780,오류2동,2884084,6,1077127000,491533333,15539333,9985667,67240667,16216333,110764000,31400000,52370000,51196333,230881333
2018,10,11530760,개봉3동,2630765,6,724449667,398145000,12833333,10719333,51622667,43999333,16053000,20656667,11589000,22271667,136559667
