기준연도,기준월,자치구,매매가,전세가,월세가
2018,1,종로구,602125,431250,1459
2018,2,종로구,607646,433333,1459
2018,3,종로구,611500,435313,1459
2018,4,종로구,615833,436354,1459
2018,5,종로구,619167,437604,1457
2018,6,종로구,622708,440417,1448
2018,7,종로구,626417,442458,1443
2018,8,종로구,631021,442813,1443
2018,9,종로구,637167,445292,1443
2018,10,종로구,642313,445875,1445
2018,11,종로구,643875,447438,1445
2018,12,종로구,644083,446604,1445
2019,1,종로구,710411,467054,1462
2019,2,종로구,709786,465804,1457
2019,3,종로구,709661,461964,1457
2019,4,종로구,709554,460179,1457
2019,5,종로구,709214,459196,1457
2019,6,종로구,709250,459018,1457
2019,7,종로구,709250,458643,1458
2019,8,종로구,709679,458911,1458
2019,9,종로구,711357,459732,1458
2019,10,종로구,713732,460518,1459
2019,11,종로구,715696,461661,1455
2019,12,종로구,720375,463339,1456
2020,1,종로구,1022319,586403,1538
2020,2,종로구,1023083,587125,1539
2020,3,종로구,1023917,588306,1541
2020,4,종로구,1023250,588917,1541
2020,5,종로구,1021861,589361,1542
2020,6,종로구,1022514,590625,1543
2020,7,종로구,1029542,592292,1543
2020,8,종로구,1033625,592708,1543
2020,9,종로구,1036486,593597,1543
2020,10,종로구,1036681,594347,1544
2020,11,종로구,1037986,595569,1545
2020,12,종로구,1039903,599639,1552
2021,1,종로구,1041444,602222,1554
2021,2,종로구,1044347,603417,1555
2021,3,종로구,1045819,603778,1555
2021,4,종로구,1047819,604278,1555
2021,5,종로구,1048722,604417,1555
2021,6,종로구,1050750,604847,1548
2021,7,종로구,986488,615663,1247
2021,8,종로구,993400,620913,1254
2021,9,종로구,1000450,625763,1264
2021,10,종로구,1010325,631013,1263
2021,11,종로구,1019263,635275,1278
2021,12,종로구,1020950,636475,1281
2022,1,종로구,1020513,636363,1283
2022,2,종로구,1018100,634475,1286
2022,3,종로구,1016508,633859,1288
2022,4,종로구,1015970,633104,1295
2022,5,종로구,1015670,632641,1296
2022,6,종로구,1014683,631054,1292
2022,7,종로구,1010645,629541,1293
2022,8,종로구,1002308,625679,1296
2022,9,종로구,990920,619304,1299
2022,10,종로구,977845,611004,1297
2022,11,종로구,962933,599279,1296
2022,12,종로구,937788,580996,1296
2023,1,종로구,913802,562009,1281
2023,2,종로구,905123,548885,1272
2023,3,종로구,896901,536317,1261
2023,4,종로구,893358,531836,1259
2023,5,종로구,891642,530848,1258
2023,6,종로구,891599,531256,1259
2023,7,종로구,892493,531522,1262
2023,8,종로구,894653,532498,1266
2023,9,종로구,900209,535979,1269
2023,10,종로구,904562,538510,1276
2023,11,종로구,905864,540670,1279
2023,12,종로구,905173,541016,1280
2024,1,종로구,903061,541394,1289
2024,2,종로구,903002,541565,1294
2024,3,종로구,903624,542455,1297
2018,1,중구,623017,470533,1518
2018,2,중구,631950,473283,1518
2018,3,중구,640967,474283,1518
2018,4,중구,646217,474033,1518
2018,5,중구,651383,473950,1518
2018,6,중구,655550,473783,1518
2018,7,중구,661633,474283,1518
2018,8,중구,670733,476117,1518
2018,9,중구,682467,478867,1518
2018,10,중구,688617,481517,1526
2018,11,중구,691400,481767,1526
2018,12,중구,692683,481633,1526
2019,1,중구,775667,491750,1542
2019,2,중구,773200,490300,1542
